order_id,customer_id,company_name,employee_id,order_date,unit_price,quantity,discount,required_date,shipped_date,ship_via,freight,product_id,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10248,VINET,Vins et alcools Chevalier,5,1996-07-04,14,12,0,1996-08-01,1996-07-16,3,32.38,11,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10249,TOMSP,Toms Spezialitäten,6,1996-07-05,18.6,9,0,1996-08-16,1996-07-10,1,11.61,14,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10250,HANAR,Hanari Carnes,4,1996-07-08,7.7,10,0,1996-08-05,1996-07-12,2,65.83,41,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,Victuailles en stock,3,1996-07-08,16.8,6,0.05,1996-08-05,1996-07-15,1,41.34,22,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10252,SUPRD,Suprêmes délices,4,1996-07-09,64.8,40,0.05,1996-08-06,1996-07-11,2,51.3,20,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10253,HANAR,Hanari Carnes,3,1996-07-10,10,20,0,1996-07-24,1996-07-16,2,58.17,31,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,Chop-suey Chinese,5,1996-07-11,3.6,15,0.15,1996-08-08,1996-07-23,2,22.98,24,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10255,RICSU,Richter Supermarkt,9,1996-07-12,15.2,20,0,1996-08-09,1996-07-15,3,148.33,2,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10256,WELLI,Wellington Importadora,3,1996-07-15,26.2,15,0,1996-08-12,1996-07-17,2,13.97,53,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,HILAA,HILARION-Abastos,4,1996-07-16,35.1,25,0,1996-08-13,1996-07-22,3,81.91,27,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,ERNSH,Ernst Handel,1,1996-07-17,15.2,50,0.2,1996-08-14,1996-07-23,1,140.51,2,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10259,CENTC,Centro comercial Moctezuma,4,1996-07-18,8,10,0,1996-08-15,1996-07-25,3,3.25,21,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
10260,OTTIK,Ottilies Käseladen,4,1996-07-19,7.7,16,0.25,1996-08-16,1996-07-29,1,55.09,41,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10261,QUEDE,Que Delícia,4,1996-07-19,8,20,0,1996-08-16,1996-07-30,2,3.05,21,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,Rattlesnake Canyon Grocery,8,1996-07-22,17,12,0.2,1996-08-19,1996-07-25,3,48.29,5,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,ERNSH,Ernst Handel,9,1996-07-23,13.9,60,0.25,1996-08-20,1996-07-31,3,146.06,16,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10264,FOLKO,Folk och fä HB,6,1996-07-24,15.2,35,0,1996-08-21,1996-08-23,3,3.67,2,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10265,BLONP,Blondesddsl père et fils,2,1996-07-25,31.2,30,0,1996-08-22,1996-08-12,1,55.28,17,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10266,WARTH,Wartian Herkku,3,1996-07-26,30.4,12,0.05,1996-09-06,1996-07-31,3,25.73,12,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10267,FRANK,Frankenversand,4,1996-07-29,14.7,50,0,1996-08-26,1996-08-06,1,208.58,40,Frankenversand,Berliner Platz 43,München,,80805,Germany
10268,GROSR,GROSELLA-Restaurante,8,1996-07-30,99,10,0,1996-08-27,1996-08-02,3,66.29,29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
